Full_Name,Age,Birthday,Gender,Barangay,Civil_Status,Educational_Attainment,Employment_Status,Monthly_Income,Number_of_Dependents,With_Minor,With_PWD,Disability_Category,Type_of_Solo_Parent,Duration_Months,Is_Pregnant,Youngest_Child_Age,Receiving_Other_Govt_Cash_Aid,Formal_PhilHealth_Member,Dependent_Currently_Studying,Below_Poverty_Line,Eligibility,Cash_Subsidy_Sec15a,VAT_Discount_Sec15b,PhilHealth_Coverage_Sec15c,Livelihood_Priority_Sec15d,Housing_Priority_Sec15e,Educational_Support_Sec9,Priority_Level,Recommendation,Remarks
Rosalinda Fernandez,45,03/23/1980,F,Alipit,Annulled,Postgraduate,Part-Time,4564,0,No,No,N/A,Legal or de facto separation,14,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Danilo Bautista,20,02/13/2006,M,San Juan,Widow,Postgraduate,Unemployed,5342,0,No,No,N/A,Birth of child due to rape,44,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Luzviminda Pascual,58,10/07/1967,F,Alipit,Married,Vocational,Self-Employed,29845,3,No,No,N/A,Birth of child due to rape,51,0,5,No,Yes,No,No,Eligible,No,No,Yes,No,No,No,Low,PhilHealth/NHIP Coverage (Sec. 15c),
Carlito Castillo,50,10/27/1975,M,San Pablo Sur,Annulled,High School,Unemployed,8756,2,No,No,N/A,Legal or de facto separation,1,0,9,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,Claimed 'Legal or de facto separation' but duration is only 1 month(s); RA 11861 requires at least 6 month(s) for this category.
Noel Rivera,67,11/17/1959,M,Bagumbayan,Single,High School,Part-Time,5678,0,No,No,N/A,Physical or mental incapacity of spouse,18,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Luzviminda Dela Cruz,61,07/22/1965,F,San Pablo Norte,Widow,Postgraduate,Self-Employed,12042,1,Yes,No,N/A,Death of spouse,44,0,6,Yes,No,Yes,Yes,Eligible,No,Yes,Yes,No,Yes,Yes,Medium,"VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Luzviminda Ramos,48,11/11/1977,F,Bagumbayan,Annulled,Vocational,Unemployed,9474,2,Yes,No,N/A,Pregnant woman solely responsible for unborn child,0,0,4,Yes,Yes,No,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Josephine Villanueva,26,09/14/2000,F,San Juan,Single,Elementary,Part-Time,4101,5,No,No,N/A,Physical or mental incapacity of spouse,43,0,5,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Editha Torres,60,03/30/1966,F,San Pablo Sur,Married,Elementary,Employed,34524,5,No,No,N/A,Spouse/family member/guardian of an OFW,8,0,0,No,Yes,Yes,No,Not Eligible,,,,,,,N/A,,Claimed 'Spouse/family member/guardian of an OFW' but duration is only 8 month(s); RA 11861 requires at least 12 month(s) for this category.
Efren Gonzales,59,04/18/1967,M,San Pablo Norte,Annulled,Postgraduate,Employed,16584,2,Yes,No,N/A,Abandonment by spouse,39,0,8,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Cristina Aquino,24,03/14/2001,F,Patimbao,Single,Elementary,Unemployed,1201,5,Yes,No,N/A,Unmarried parent who keeps and rears the child,37,0,3,No,No,No,Yes,Eligible,Yes,Yes,Yes,Yes,Yes,No,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Gilbert Reyes,54,12/06/1971,M,Labuin,Married,Postgraduate,Part-Time,3293,4,Yes,No,N/A,"Declaration of nullity, annulment, or divorce",23,0,0,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Teresa Flores,39,11/23/1986,F,Bagumbayan,Married,Postgraduate,Part-Time,14550,0,No,No,N/A,Abandonment by spouse,16,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Ana Ramos,47,04/17/1978,F,Santisima Cruz,Separated,High School,Unemployed,11131,5,No,No,N/A,Relative within 4th civil degree assuming care,5,0,5,Yes,No,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed 'Relative within 4th civil degree assuming care' but duration is only 5 month(s); RA 11861 requires at least 6 month(s) for this category.
Efren Ramos,23,11/26/2002,M,Santisima Cruz,Widow,Postgraduate,Employed,37145,5,Yes,No,N/A,Unmarried parent who keeps and rears the child,59,0,4,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Rowena Garcia,59,04/05/1966,F,San Pablo Sur,Annulled,High School,Unemployed,15030,0,No,No,N/A,Spouse/family member/guardian of an OFW,40,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Mark Ramos,35,02/14/1991,M,Labuin,Separated,Postgraduate,Self-Employed,4429,5,Yes,Yes,Mental/Psychosocial,Detention of spouse (3+ months) or serving sentence,34,0,6,No,No,Yes,Yes,Eligible,Yes,Yes,Yes,No,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Ronald Mendoza,65,07/23/1960,M,Santisima Cruz,Annulled,College,Self-Employed,13639,0,No,No,N/A,Detention of spouse (3+ months) or serving sentence,18,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Cristina Ramos,45,06/06/1980,F,Bagumbayan,Annulled,Postgraduate,Employed,26170,0,No,No,N/A,Relative within 4th civil degree assuming care,30,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Rosalinda Ramos,33,06/19/1992,F,Bagumbayan,Married,Elementary,Unemployed,14583,0,No,Yes,Sensory (Visual/Hearing),Abandonment by spouse,36,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Corazon Garcia,23,02/03/2002,F,Santisima Cruz,Annulled,Postgraduate,Employed,25000,0,No,No,N/A,Relative within 4th civil degree assuming care,25,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Carlito Fernandez,24,11/23/2001,M,Alipit,Married,College,Unemployed,3312,0,No,No,N/A,Death of spouse,37,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Teresa Villanueva,58,10/08/1967,F,Bubukal,Separated,College,Employed,12927,3,Yes,No,N/A,Abandonment by spouse,43,0,3,No,Yes,No,Yes,Eligible,Yes,Yes,No,No,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Housing Priority (Sec. 15e)",
Arnel Pascual,33,08/31/1993,M,Bubukal,Married,High School,Self-Employed,12197,0,No,No,N/A,Unmarried parent who keeps and rears the child,60,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Rowena Garcia,46,03/31/1980,F,San Pablo Norte,Widow,Vocational,Part-Time,11540,1,Yes,No,N/A,Pregnant woman solely responsible for unborn child,0,0,6,No,Yes,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Luzviminda Gonzales,51,01/22/1974,F,Labuin,Married,Postgraduate,Employed,39158,0,No,No,N/A,Physical or mental incapacity of spouse,38,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Ronald Mendoza,19,06/24/2006,M,Alipit,Separated,Postgraduate,Unemployed,13215,5,Yes,No,N/A,Birth of child due to rape,20,0,3,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Malou Fernandez,51,03/23/1975,F,San Juan,Annulled,Vocational,Unemployed,2974,5,Yes,No,N/A,Pregnant woman solely responsible for unborn child,15,1,8,No,No,No,Yes,Eligible,Yes,No,Yes,Yes,Yes,No,High,"Cash Subsidy (Sec. 15a), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Roberto Bautista,32,03/17/1993,M,Bagumbayan,Annulled,High School,Unemployed,15465,0,No,No,N/A,Relative within 4th civil degree assuming care,30,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Mark Cruz,37,02/28/1988,M,Bubukal,Widow,College,Employed,17431,1,No,No,N/A,Unmarried parent who keeps and rears the child,49,0,6,No,Yes,Yes,No,Eligible,No,Yes,No,No,No,Yes,Low,"VAT Discount/Exemption (Sec. 15b), Educational Support (Sec. 9)",
Leonora Reyes,58,11/10/1968,F,Bagumbayan,Annulled,Postgraduate,Unemployed,2009,0,No,No,N/A,Birth of child due to rape,34,0,,Yes,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Editha Mendoza,29,02/20/1996,F,Patimbao,Annulled,High School,Unemployed,4359,0,No,No,N/A,Pregnant woman solely responsible for unborn child,0,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Precious Fernandez,34,01/21/1991,F,Bubukal,Separated,Postgraduate,Part-Time,15349,5,Yes,Yes,Sensory (Visual/Hearing),Legal or de facto separation,29,0,8,No,No,No,No,Eligible,Yes,No,Yes,Yes,No,No,High,"Cash Subsidy (Sec. 15a), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d)",
Roberto Gonzales,58,10/28/1967,M,Patimbao,Separated,High School,Self-Employed,34104,3,No,Yes,Intellectual/Developmental,Legal or de facto separation,4,0,6,Yes,Yes,Yes,No,Not Eligible,,,,,,,N/A,,Claimed 'Legal or de facto separation' but duration is only 4 month(s); RA 11861 requires at least 6 month(s) for this category.
Reynaldo Rivera,54,07/14/1972,M,Calios,Separated,High School,Employed,12844,0,No,Yes,Sensory (Visual/Hearing),Spouse/family member/guardian of an OFW,23,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Marites Mendoza,62,12/27/1964,F,Labuin,Annulled,Postgraduate,Self-Employed,33218,0,No,No,N/A,Death of spouse,22,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Reynaldo Mendoza,20,11/18/2005,M,Alipit,Married,College,Unemployed,10694,5,Yes,Yes,Intellectual/Developmental,Detention of spouse (3+ months) or serving sentence,49,0,1,No,No,Yes,Yes,Eligible,Yes,Yes,Yes,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Noel Dela Cruz,39,06/07/1986,M,Bubukal,Annulled,Vocational,Employed,35938,0,No,No,N/A,Spouse/family member/guardian of an OFW,48,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Malou Aquino,47,09/20/1979,F,San Pablo Sur,Separated,Vocational,Employed,23876,4,Yes,No,N/A,"Declaration of nullity, annulment, or divorce",37,0,5,No,No,Yes,No,Eligible,No,No,Yes,No,No,Yes,Medium,"PhilHealth/NHIP Coverage (Sec. 15c), Educational Support (Sec. 9)",
Noel Rivera,23,04/15/2002,M,Santisima Cruz,Annulled,Elementary,Employed,39660,1,Yes,No,N/A,Abandonment by spouse,3,0,9,No,Yes,Yes,No,Not Eligible,,,,,,,N/A,,Claimed 'Abandonment by spouse' but duration is only 3 month(s); RA 11861 requires at least 6 month(s) for this category.
Edgardo Flores,68,07/08/1958,M,San Juan,Annulled,Vocational,Employed,23261,3,Yes,No,N/A,Abandonment by spouse,39,0,8,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Roberto Santos,48,06/22/1978,M,Duhat,Single,High School,Part-Time,13783,3,Yes,No,N/A,Legal or de facto separation,19,0,0,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Ana Salazar,29,03/19/1997,F,Patimbao,Widow,College,Employed,37482,4,Yes,No,N/A,Legal or de facto separation,4,0,4,No,Yes,Yes,No,Not Eligible,,,,,,,N/A,,Claimed 'Legal or de facto separation' but duration is only 4 month(s); RA 11861 requires at least 6 month(s) for this category.
Reynaldo Cruz,55,07/10/1970,M,San Pablo Sur,Widow,Elementary,Part-Time,16188,5,Yes,No,N/A,Unmarried parent who keeps and rears the child,50,0,8,No,No,Yes,No,Eligible,No,No,Yes,Yes,No,Yes,Medium,"PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Educational Support (Sec. 9)",
Marites Salazar,43,01/16/1982,F,Labuin,Married,Elementary,Part-Time,19313,5,No,No,N/A,Unmarried parent who keeps and rears the child,32,0,9,No,No,Yes,No,Eligible,No,No,Yes,Yes,No,Yes,Medium,"PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Educational Support (Sec. 9)",
Edgardo Dela Cruz,56,06/18/1969,M,Duhat,Married,High School,Employed,31705,2,Yes,No,N/A,Birth of child due to rape,32,0,8,No,No,No,No,Eligible,No,No,Yes,No,No,No,Low,PhilHealth/NHIP Coverage (Sec. 15c),
Luzviminda Fernandez,22,08/18/2003,F,San Juan,Widow,Elementary,Employed,25343,4,No,Yes,Intellectual/Developmental,Legal or de facto separation,41,0,4,Yes,Yes,No,No,Eligible,No,No,Yes,No,No,No,Medium,PhilHealth/NHIP Coverage (Sec. 15c),
Corazon Gonzales,50,06/12/1976,F,Bubukal,Widow,Elementary,Unemployed,4350,0,No,No,N/A,Spouse/family member/guardian of an OFW,31,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Jose Santos,61,02/06/1965,F,Duhat,Separated,Postgraduate,Unemployed,15488,0,No,No,N/A,Pregnant woman solely responsible for unborn child,0,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Ronald Salazar,19,08/03/2007,M,San Pablo Norte,Married,College,Self-Employed,18751,3,No,No,N/A,"Legal guardian, adoptive, or foster parent",23,0,6,No,No,No,No,Eligible,No,Yes,Yes,No,No,No,Medium,"VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c)",
Corazon Del Rosario,33,02/06/1993,F,Labuin,Separated,High School,Part-Time,18219,0,No,No,N/A,Physical or mental incapacity of spouse,6,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Gilbert Castillo,29,12/02/1996,M,Alipit,Separated,Vocational,Employed,25116,0,No,No,N/A,Birth of child due to rape,29,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Danilo Mendoza,62,04/06/1963,M,San Juan,Single,Vocational,Employed,36350,3,Yes,No,N/A,Abandonment by spouse,50,0,5,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Luzviminda Flores,26,04/25/1999,F,San Pablo Sur,Annulled,College,Part-Time,19204,5,Yes,No,N/A,Death of spouse,10,0,5,Yes,No,Yes,No,Eligible,No,Yes,Yes,Yes,No,Yes,Medium,"VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Educational Support (Sec. 9)",
Marites Rivera,52,02/10/1973,F,Santisima Cruz,Separated,College,Part-Time,9417,0,No,No,N/A,Abandonment by spouse,45,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Carlito Torres,23,01/06/2003,F,San Juan,Separated,College,Self-Employed,37090,0,No,No,N/A,Pregnant woman solely responsible for unborn child,0,0,,Yes,No,No,No,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Gilbert Fernandez,29,09/20/1997,M,Bubukal,Annulled,High School,Employed,15465,1,No,No,N/A,Death of spouse,5,0,4,No,No,Yes,No,Eligible,Yes,Yes,Yes,No,No,Yes,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Educational Support (Sec. 9)",
Angelica Reyes,49,01/10/1976,F,Labuin,Single,Elementary,Unemployed,8874,3,Yes,No,N/A,Birth of child due to rape,49,0,7,Yes,Yes,Yes,Yes,Eligible,No,No,No,Yes,Yes,Yes,Medium,"Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Julius Bautista,42,04/29/1984,M,San Juan,Married,College,Part-Time,19507,1,Yes,No,N/A,Physical or mental incapacity of spouse,35,0,8,Yes,Yes,No,No,Eligible,No,No,No,Yes,No,No,Low,Livelihood/Employment Priority (Sec. 15d),
Ferdinand Gonzales,26,03/06/1999,F,Patimbao,Widow,Vocational,Part-Time,4027,0,No,No,N/A,Relative within 4th civil degree assuming care,39,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Luzviminda Rivera,42,01/07/1983,F,Calios,Annulled,Postgraduate,Self-Employed,17851,5,Yes,No,N/A,Birth of child due to rape,2,0,2,No,Yes,Yes,No,Eligible,No,Yes,No,No,No,Yes,Medium,"VAT Discount/Exemption (Sec. 15b), Educational Support (Sec. 9)",
Leonora Castillo,38,04/08/1988,F,Patimbao,Married,Vocational,Employed,28746,0,No,No,N/A,Legal or de facto separation,8,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Rowena Castillo,27,07/24/1999,F,Bubukal,Widow,Elementary,Unemployed,11113,2,Yes,No,N/A,Pregnant woman solely responsible for unborn child,0,0,4,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Vicente Mendoza,31,09/11/1995,M,Alipit,Single,Postgraduate,Self-Employed,18630,0,No,No,N/A,"Legal guardian, adoptive, or foster parent",2,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Luzviminda Aquino,25,07/08/2001,F,Santisima Cruz,Single,Postgraduate,Self-Employed,24985,3,Yes,No,N/A,"Legal guardian, adoptive, or foster parent",48,0,5,No,Yes,No,No,Eligible,No,No,Yes,No,No,No,Low,PhilHealth/NHIP Coverage (Sec. 15c),
Dominador Garcia,56,01/31/1969,M,San Pablo Sur,Single,College,Employed,20039,0,No,No,N/A,Relative within 4th civil degree assuming care,19,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Mark Flores,40,05/26/1986,M,Santisima Cruz,Widow,Postgraduate,Unemployed,3474,1,Yes,No,N/A,"Declaration of nullity, annulment, or divorce",6,0,0,Yes,No,Yes,Yes,Eligible,No,Yes,Yes,Yes,Yes,Yes,Medium,"VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Bernardo Castillo,46,06/13/1980,M,Duhat,Married,Elementary,Self-Employed,35032,5,Yes,No,N/A,Unmarried parent who keeps and rears the child,23,0,6,No,No,Yes,No,Eligible,No,No,Yes,No,No,Yes,Medium,"PhilHealth/NHIP Coverage (Sec. 15c), Educational Support (Sec. 9)",
Rowena Pascual,49,03/01/1976,F,Labuin,Annulled,Vocational,Self-Employed,21487,3,No,No,N/A,Detention of spouse (3+ months) or serving sentence,1,0,9,No,No,No,No,Not Eligible,,,,,,,N/A,,Claimed 'Detention of spouse (3+ months) or serving sentence' but duration is only 1 month(s); RA 11861 requires at least 3 month(s) for this category.
Ramon Villanueva,38,04/15/1987,M,Duhat,Married,Elementary,Unemployed,2473,3,Yes,No,N/A,Detention of spouse (3+ months) or serving sentence,30,0,1,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Jocelyn Castillo,57,05/17/1968,F,Bagumbayan,Single,Elementary,Unemployed,1569,3,No,No,N/A,Death of spouse,25,0,0,Yes,No,No,Yes,Eligible,No,Yes,Yes,Yes,Yes,No,Medium,"VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Bernardo Garcia,67,08/24/1958,M,Patimbao,Separated,Vocational,Unemployed,11121,3,Yes,No,N/A,Detention of spouse (3+ months) or serving sentence,25,0,4,No,No,No,Yes,Eligible,Yes,Yes,Yes,Yes,Yes,No,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Corazon Bautista,23,04/19/2002,F,Bubukal,Annulled,High School,Self-Employed,29035,0,No,Yes,Intellectual/Developmental,Physical or mental incapacity of spouse,15,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Vicente Bautista,40,09/08/1986,M,Santisima Cruz,Annulled,Elementary,Self-Employed,10038,0,No,No,N/A,Unmarried parent who keeps and rears the child,53,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Jocelyn Salazar,56,04/13/1970,F,San Juan,Married,Vocational,Unemployed,11420,3,Yes,No,N/A,Relative within 4th civil degree assuming care,47,0,7,No,Yes,No,Yes,Eligible,Yes,No,No,Yes,Yes,No,Medium,"Cash Subsidy (Sec. 15a), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Editha Villanueva,29,06/05/1997,F,San Pablo Sur,Married,Vocational,Part-Time,10452,5,No,No,N/A,Spouse/family member/guardian of an OFW,49,0,8,No,Yes,No,Yes,Eligible,Yes,No,No,Yes,Yes,No,Medium,"Cash Subsidy (Sec. 15a), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Jose Aquino,42,03/04/1984,M,Patimbao,Widow,College,Part-Time,17311,2,No,No,N/A,"Declaration of nullity, annulment, or divorce",55,0,7,No,No,Yes,No,Eligible,No,No,Yes,Yes,No,Yes,Medium,"PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Educational Support (Sec. 9)",
Maria Rivera,63,05/17/1963,F,Alipit,Widow,Vocational,Part-Time,6844,0,No,No,N/A,Death of spouse,53,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Jose Mendoza,46,04/08/1980,M,Bagumbayan,Married,Postgraduate,Unemployed,8260,2,Yes,No,N/A,Death of spouse,49,0,6,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Cecilia Reyes,64,07/03/1962,F,Labuin,Widow,High School,Unemployed,1213,0,No,No,N/A,Legal or de facto separation,53,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Cecilia Pascual,30,06/17/1996,F,Calios,Single,Elementary,Unemployed,585,0,No,No,N/A,Physical or mental incapacity of spouse,25,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Roberto Gonzales,40,02/01/1986,M,Patimbao,Single,Elementary,Employed,19408,2,Yes,No,N/A,Relative within 4th civil degree assuming care,2,0,1,No,Yes,No,No,Not Eligible,,,,,,,N/A,,Claimed 'Relative within 4th civil degree assuming care' but duration is only 2 month(s); RA 11861 requires at least 6 month(s) for this category.
Angelica Flores,19,07/31/2006,F,Patimbao,Single,Vocational,Unemployed,9748,0,No,No,N/A,Birth of child due to rape,20,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Arnel Reyes,26,08/01/2000,M,Calios,Annulled,Postgraduate,Self-Employed,25178,5,Yes,No,N/A,Detention of spouse (3+ months) or serving sentence,1,0,5,No,No,No,No,Not Eligible,,,,,,,N/A,,Claimed 'Detention of spouse (3+ months) or serving sentence' but duration is only 1 month(s); RA 11861 requires at least 3 month(s) for this category.
Editha Fernandez,20,03/14/2006,F,Santisima Cruz,Married,High School,Unemployed,1635,0,No,No,N/A,"Declaration of nullity, annulment, or divorce",4,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Ronald Reyes,46,05/15/1979,M,Patimbao,Separated,High School,Self-Employed,20964,5,No,No,N/A,Physical or mental incapacity of spouse,18,0,9,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Julius Aquino,31,07/13/1995,M,Patimbao,Single,Elementary,Employed,14016,1,Yes,No,N/A,Physical or mental incapacity of spouse,33,0,4,No,Yes,No,Yes,Eligible,Yes,Yes,No,No,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Housing Priority (Sec. 15e)",
